8,9,Strand entlaggehen
8,10,Hügel raufklettern
9,11,Muscheln essen
9,12,Muscheln nicht essen
10,13,auf Felsen klettern
10,14,zu Beeren zurück und übernachten
11,15,Wasser trinken
11,16,nicht trinken
12,17,blitzschnell in Sicherheit bringen
12,18,reglos warten
13,19,in Richtung Rauch gehen
13,20,in Richtung Trommeln gehen
14,21,auf Hund zugehen
14,22,im Versteck bleiben
15,23,auf Baum klettern
15,24,reglos abwarten
16,25,zum Bach gehen
16,26,hinter Felsvorsprung bleiben
17,27,fliehen
17,28,bleiben
18,29,in den Wald rennen
18,30,anfreunden
19,31,weitergehen
19,32,umkehren
20,33,ins Dorf gehen
20,34,durch den Wald gehen
21,35,wegrennen
21,36,bleiben
22,37,hinüberschwimmen
22,38,nicht versuchen
23,39,herauskommen
23,40,im Baumversteck bleiben
24,41,aus Treibsand herauswaten
24,42,auf den Rücken werfen und wegrollen
25,43,Fisch essen
25,44,Fisch nicht essen
26,45,zum Pirat gehen
26,46,im Versteck bleiben
27,47,zu Mann gehen
27,48,weitergehen
28,49,bergauf fliehen
28,50,ins Tal zurücklaufen
29,51,Floß vom Ufer abstoßen
29,52,nicht losfahren
30,53,fliehen
30,54,bleiben
31,55,bleiben und Kunststück ausdenken
31,56,fliehen
32,57,ins Dorf laufen
32,58,verstecken
33,59,helfen
33,60,nicht helfen
34,61,ein paar Edelsteine nehmen und weitergehen
34,62,verstecken und warten
35,63,vom Geheimtrank trinken
35,64,nicht trinken
36,65,auf die Schildkröte steigen
36,66,lieber nur folgen
37,67,
38,13,
39,68,auf den Kopf stellen
39,69,nicht auf den Kopf stellen
40,70,in die Kuppel gehen
40,71,nicht in die Kuppel gehen
41,bad,
42,72,mit aufs Floß gehen
42,73,an Land bleiben
43,74,mit Piraten lossegeln
43,75,weglaufen
44,76,in die Höhle klettern
44,77,dem Piraten nicht trauen
45,good,
46,78,weiter zuhören
46,79,weglaufen
47,80,von altem Mann erzählen
47,81,nicht von altem Mann erzählen
48,82,von altem Mann erzählen
48,83,nicht von altem Mann erzählen
49,good,
50,84,weiter durchschlagen
50,85,zum Dorf zurückgehen
51,86,zum Ufer paddeln
51,87,weiter flussabwärts treiben lassen
52,good,
53,90,weiterklettern
53,91,zu Eingeborenen zurücklaufen
54,good,
55,93,in Stamm aufnehmen lassen
55,94,zum nächsten Dorf führen lassen
56,bad,
57,92,
58,97,durch das Loch klettern
58,98,nicht hineinklettern
59,99,Hinterhalt
59,100,Blitzangriff
60,100,
61,101,Männer ansprechen und von Schatz erzählen
61,102,Männer ansprechen und nicht von Schatz erzählen
61,103,im Versteck bleiben
62,104,erstes Angebot
62,105,zweites Angebot
63,good,
64,88,
65,106,auf Rücken bleiben
65,107,abspringen
66,9,
67,108,losgehen
67,109,bleiben
68,good,
69,good,
70,good,
71,good,
72,good,
73,good,
74,good,
75,9,
76,good,
77,good,
78,26,
79,27,
80,good,
81,good,
82,good,
83,good,
84,bad,
85,good,
86,30,
87,good,
88,106,sitzenbleiben
88,89,abspringen
89,16,
90,good,
91,good,
92,95,nach Westen gehen
92,96,nach Osten gehen
93,37,
94,good,
95,good,
96,9,
97,good,
98,bad,
99,good,
100,good,
101,good,
102,good,
103,good,
104,good,
105,9,Strand entlaggehen
105,10,Hügel raufklettern
106,bad,
107,bad,
108,good,
109,bad,
